id	area	statement	status	evidence	invariant
BT-REQ-0100	SPEC-01-kernel-dispatch	Every external action reaches an adapter only through `Dispatcher._execute_adapter`, the single `adapter.execute` call site in the kernel.	IMPLEMENTED	`boltrig/kernel/dispatch.py:719` `"result: Result = await adapter.execute(verb_def.id, resolved_params"`	SEC-26
BT-REQ-0101	SPEC-01-kernel-dispatch	`Kernel.invoke` delegates without policy to the dispatcher, and the kernel composes rather than implements policy.	IMPLEMENTED	`boltrig/kernel/__init__.py:175` `"return await self.dispatcher.invoke("`	-
BT-REQ-0102	SPEC-01-kernel-dispatch	The executed order is resolve, grant check, validate params, idempotency claim, approval verdict, gate/rate limit, execute, validate output, complete, audit.	IMPLEMENTED	`boltrig/kernel/dispatch.py:499-601` `"# 1. resolve the verb + binding"`	SEC-21
BT-REQ-0103	SPEC-01-kernel-dispatch	The grant check runs BEFORE param validation, diverging from the doctrine sentence in AGENTS.md and from dispatch.py's own docstring.	IMPLEMENTED	`boltrig/kernel/dispatch.py:507` `"# 2. grant check (SEC-07) BEFORE validation"`	SEC-07
BT-REQ-0104	SPEC-01-kernel-dispatch	`docs/ARCHITECTURE.md` documents idempotency replay after the HITL gate and rate limit, which the code contradicts.	IMPLEMENTED-UNTESTED	`docs/ARCHITECTURE.md:55` `"Idempotency replay (return the prior result)"`	-
BT-REQ-0105	SPEC-01-kernel-dispatch	An unresolvable verb, an ineligible binding, a missing binding row and an unknown target type all raise `BindingNotFound`.	IMPLEMENTED	`boltrig/kernel/routing.py:158` `"raise BindingNotFound(f\"unknown verb '{name}'\")"`; `boltrig/kernel/dispatch.py:588` `"else:  # fail-closed on an unknown target type"`	K-13
BT-REQ-0106	SPEC-01-kernel-dispatch	Only a name that is not a stored verb reaches the capability router, so routing can add a destination and never move an existing one.	IMPLEMENTED	`boltrig/kernel/routing.py:211` `"A stored verb id resolves exactly as it always did"`	-
BT-REQ-0107	SPEC-01-kernel-dispatch	The capability grant is authorised after the capability is known to exist and before any destination is read.	IMPLEMENTED	`boltrig/kernel/routing.py:159` `"if authorize is not None:"`	SEC-07
BT-REQ-0108	SPEC-01-kernel-dispatch	Two or more eligible bindings with no selecting policy raise `RouteRequired` naming the destinations, never a first-match.	IMPLEMENTED	`boltrig/kernel/routing.py:176` `"raise RouteRequired("`	-
BT-REQ-0109	SPEC-01-kernel-dispatch	A routing policy naming a disabled or deleted binding is skipped rather than fatal.	IMPLEMENTED	`boltrig/kernel/routing.py:122` `"SKIPPED rather than fatal"`	-
BT-REQ-0110	SPEC-01-kernel-dispatch	An unrecognised capability suffix is classed `update`, the write path that never fans out.	IMPLEMENTED	`boltrig/kernel/routing.py:52` `"An unrecognised name must"`	-
BT-REQ-0111	SPEC-01-kernel-dispatch	A routed call is grant-checked against BOTH the capability id and the source operation id.	IMPLEMENTED	`boltrig/kernel/routing.py:264` `"return (verb,) if plan is None else (plan.capability_id, verb_def.id)"`	SEC-07
BT-REQ-0112	SPEC-01-kernel-dispatch	A capability grant is matched unversioned so a version move cannot silently stop it matching.	IMPLEMENTED	`boltrig/kernel/routing.py:257` `"The capability is checked UNVERSIONED"`	SEC-07
BT-REQ-0113	SPEC-01-kernel-dispatch	A verb is authorised only when both the tenant ceiling and the caller's grants permit it.	IMPLEMENTED	`boltrig/kernel/grants.py:20` `"if not tenant_perms.grants.permits(verb_id):"`	K-2
BT-REQ-0114	SPEC-01-kernel-dispatch	An active deny beats every allow and is checked first.	IMPLEMENTED	`boltrig/models/grants.py:105` `"return False  # K-5: deny dominates, short-circuit"`	K-5
BT-REQ-0115	SPEC-01-kernel-dispatch	An unmatched, empty or unknown grant set denies.	IMPLEMENTED	`boltrig/models/grants.py:108` `"return False  # K-13: nothing matched -> deny"`	K-13
BT-REQ-0116	SPEC-01-kernel-dispatch	A verb id that is not a safe NFKC identifier can never match any grant pattern.	IMPLEMENTED	`boltrig/models/grants.py:77` `"a non-canonical / confusable id can never be authorised"`	K-9
BT-REQ-0117	SPEC-01-kernel-dispatch	A grant wildcard matches only on a namespace boundary, so `jira.*` never matches `jirax.read`.	IMPLEMENTED	`boltrig/models/grants.py:86` `"``jira.*`` matches ``jira.read`` (next char is a boundary)"`	K-9
BT-REQ-0118	SPEC-01-kernel-dispatch	`GrantSet.intersect` narrows a wildcard against a ceiling rather than dropping it, and unions denies.	IMPLEMENTED	`boltrig/models/grants.py:111` `"Tenant ∩ skill grants. Allows must be permitted by BOTH; denies union."`	K-2
BT-REQ-0119	SPEC-01-kernel-dispatch	Params and output are validated through one seam so the output twin cannot be forgotten.	IMPLEMENTED	`boltrig/kernel/dispatch.py:136` `"ONE seam for input and output"`	SEC-21
BT-REQ-0120	SPEC-01-kernel-dispatch	Schema findings carry only `schema_path` and an allowlisted `keyword`, never an instance-derived path or a schema value.	IMPLEMENTED	`boltrig/kernel/dispatch.py:100` `"Refused, and both look safe: ``json_path`` / ``absolute_path``"`	SEC-21
BT-REQ-0121	SPEC-01-kernel-dispatch	Schema findings are bounded at 10 errors, depth 10 and 64-character segments before the row is written.	IMPLEMENTED	`boltrig/kernel/schema_diagnosis.py:67` `"MAX_SCHEMA_ERRORS = 10"`	SEC-21
BT-REQ-0122	SPEC-01-kernel-dispatch	A verb whose registered schema is empty is not validated at all, on input or output.	IMPLEMENTED-UNTESTED	`boltrig/kernel/dispatch.py:106` `"if not schema:"`	-
BT-REQ-0123	SPEC-01-kernel-dispatch	A schema failure records the schema digest so a later read is told the schema moved rather than diffed against the wrong one.	IMPLEMENTED	`boltrig/kernel/schema_diagnosis.py:107` `"if recorded != current:"`	SEC-21
BT-REQ-0124	SPEC-01-kernel-dispatch	Caller-facing schema hints are returned but never audited.	IMPLEMENTED	`boltrig/models/errors.py:65` `"``hints`` is deliberately ABSENT here"`	SEC-21
BT-REQ-0125	SPEC-01-kernel-dispatch	An idempotency key is bound to tenant, actor, delegation, workspace, noun, verb and the canonical request hash.	IMPLEMENTED	`boltrig/kernel/idempotency.py:141` `"claim = await self._store.idempotency_claim("`	SEC-15
BT-REQ-0126	SPEC-01-kernel-dispatch	A completed idempotent result replays before the approval gate and the rate limit.	IMPLEMENTED	`boltrig/kernel/dispatch.py:519` `"if isinstance(idempotency, IdempotencyReplay):"`	SEC-15
BT-REQ-0127	SPEC-01-kernel-dispatch	A key supplied for an `idempotency_mode: disabled` verb is refused with `IdempotencyConflict`.	IMPLEMENTED	`boltrig/kernel/idempotency.py:139` `"verb '{verb}' does not support replay caching"`	SEC-15
BT-REQ-0128	SPEC-01-kernel-dispatch	Secret-shaped output is completed UNCACHEABLE without persisting bearer material.	IMPLEMENTED	`boltrig/kernel/idempotency.py:181` `"if secret_shaped(output):"`	SEC-15
BT-REQ-0129	SPEC-01-kernel-dispatch	Any raise between the claim and completion releases the claim rather than parking it until lease expiry.	IMPLEMENTED	`boltrig/kernel/dispatch.py:597` `"await self._idempotency.release(run)"`	SEC-15
BT-REQ-0130	SPEC-01-kernel-dispatch	An expired executing lease becomes UNCERTAIN and demands reconciliation instead of silently re-running.	IMPLEMENTED	`boltrig/store/idempotency.py:77` `"record[\"status\"] = \"uncertain\""`	SEC-15
BT-REQ-0131	SPEC-01-kernel-dispatch	The sensitive-key normaliser uses zero-width regexes so an adapter-chosen key cannot cause polynomial backtracking.	IMPLEMENTED	`boltrig/kernel/idempotency.py:67` `"BOTH PATTERNS ARE ZERO-WIDTH ON PURPOSE"`	-
BT-REQ-0132	SPEC-01-kernel-dispatch	The approval verdict is the operator block list, then stored-binding capabilities, then a binding override, then the posture gate.	IMPLEMENTED	`boltrig/kernel/approval_posture.py:98` `"blocked = unpinned(blocking_verbs)"`	SEC-14
BT-REQ-0133	SPEC-01-kernel-dispatch	The operator block list is matched against the typed name, the capability and the source operation.	IMPLEMENTED	`boltrig/kernel/routing.py:268` `"The names available WITHOUT a store read"`	SEC-14
BT-REQ-0134	SPEC-01-kernel-dispatch	A version-pinned block-list entry is read as the capability it names.	IMPLEMENTED	`boltrig/kernel/routing.py:317` `"An operator's always-ask entries with any version pin removed"`	SEC-14
BT-REQ-0135	SPEC-01-kernel-dispatch	Blocking a capability gates the source operation it routes to, resolved from approved stored bindings.	IMPLEMENTED	`boltrig/kernel/routing.py:332` `"The capabilities this call answers to"`	SEC-14
BT-REQ-0136	SPEC-01-kernel-dispatch	A binding `consequence_override` may only raise the gate; a `low` override is inert.	IMPLEMENTED	`boltrig/kernel/approval_posture.py:106` `"if override == \"high\":"`	SEC-14
BT-REQ-0137	SPEC-01-kernel-dispatch	The approval posture applies only to delegated agent calls on adapter bindings, never to control verbs, agent bindings or direct human calls.	IMPLEMENTED	`boltrig/kernel/approval_posture.py:124` `"if not is_delegated_agent_call(context):"`	SEC-197
BT-REQ-0138	SPEC-01-kernel-dispatch	A missing or malformed stored posture falls back to `risk_based`.	IMPLEMENTED	`boltrig/kernel/approval_posture.py:33` `"except (TypeError, ValueError):"`	SEC-197
BT-REQ-0139	SPEC-01-kernel-dispatch	An approval is fingerprinted over tenant, noun, verb, verbatim params, the authenticated initiator and the resource snapshot.	IMPLEMENTED	`boltrig/kernel/hitl_fingerprint.py:50` `"Bind one approval to one canonical action and authenticated initiator"`	SEC-14
BT-REQ-0140	SPEC-01-kernel-dispatch	An approval is consumed only after an exact type, verb, timeout and constant-time fingerprint match plus a winning CAS.	IMPLEMENTED	`boltrig/kernel/hitl.py:309` `"or not hmac.compare_digest(req.request_fingerprint"`	SEC-14
BT-REQ-0141	SPEC-01-kernel-dispatch	Replaying a CONSUMED approval raises a typed 409 rather than silently re-pending.	IMPLEMENTED	`boltrig/kernel/approval_gate.py:195` `"raise HITLStateConflict("`	SEC-14
BT-REQ-0142	SPEC-01-kernel-dispatch	An answered approval past its deadline can never authorise an execution; the gate re-pends.	IMPLEMENTED	`boltrig/kernel/hitl.py:300` `"A stale approval can never execute (SEC-14)"`	SEC-14
BT-REQ-0143	SPEC-01-kernel-dispatch	An answer arriving after `timeout_at` expires the request and is refused with a typed 409.	IMPLEMENTED	`boltrig/kernel/hitl.py:215` `"Lazy timeout enforcement (SEC-14)"`	SEC-14
BT-REQ-0144	SPEC-01-kernel-dispatch	An escalation or clarification request cannot be laundered into authorisation on a gated verb.	IMPLEMENTED	`boltrig/kernel/hitl.py:326` `"H1 hardening: require ``type == APPROVAL``"`	SEC-14
BT-REQ-0145	SPEC-01-kernel-dispatch	No approval is minted unless a redeeming lane can be named from the record; on refusal nothing is created.	IMPLEMENTED	`boltrig/kernel/approval_gate.py:132` `"Refuse to MINT an approval no lane could ever redeem"`	SEC-14
BT-REQ-0146	SPEC-01-kernel-dispatch	On a leg carrying an approval id the rate limit is enforced before the gate consumes it.	IMPLEMENTED	`boltrig/kernel/dispatch.py:548` `"if carries_approval:"`	SEC-14
BT-REQ-0147	SPEC-01-kernel-dispatch	A verb with no configured `rate_limit` is not throttled at all.	IMPLEMENTED-UNTESTED	`boltrig/kernel/ratelimit.py:112` `"if rl is None:"`	FR-KER-05
BT-REQ-0148	SPEC-01-kernel-dispatch	An unrecognised `RateLimit.per` silently becomes a 60-second window with no validation anywhere.	IMPLEMENTED-UNTESTED	`boltrig/kernel/ratelimit.py:114` `"window_seconds = _WINDOW_SECONDS.get(rl.per, 60)"`	-
BT-REQ-0149	SPEC-01-kernel-dispatch	A tenant-scoped rate limit keys on the bare tenant id, so all such verbs share one counter bucket.	IMPLEMENTED-UNTESTED	`boltrig/kernel/ratelimit.py:115` `"scope = tenant_id if rl.scope == \"tenant\" else"`	-
BT-REQ-0150	SPEC-01-kernel-dispatch	The rate-limit key uses the caller's spelling, so one binding addressed by two names gets two buckets.	IMPLEMENTED-UNTESTED	`boltrig/kernel/dispatch.py:549` `"await self._rate.enforce(tenant, verb, binding.rate_limit)"`	-
BT-REQ-0151	SPEC-01-kernel-dispatch	The shipped rate-limit counter is Redis when `REDIS_URL` is set and the in-memory counter otherwise.	IMPLEMENTED	`boltrig/kernel/ratelimit.py:90` `"if not redis_url or not redis_url.strip():"`	FR-KER-05
BT-REQ-0152	SPEC-01-kernel-dispatch	The rate-limit window is a fixed calendar window, so a configured max admits up to 2x across a boundary.	IMPLEMENTED	`boltrig/models/registry.py:75` `"``max`` is per FIXED CALENDAR window, not per sliding one"`	FR-KER-05
BT-REQ-0153	SPEC-01-kernel-dispatch	No credential is resolved for a call that dies at the grant check, the HITL gate or the rate limit.	IMPLEMENTED	`tests/kernel/test_chokepoint_order.py::test_credential_never_resolved_when_rate_limited`	SEC-05
BT-REQ-0154	SPEC-01-kernel-dispatch	The adapter credential is resolved for `on_behalf_of` when present and otherwise for `actor`.	IMPLEMENTED	`boltrig/kernel/credentials.py:144` `"``owner`` is the acting identity"`	SEC-05
BT-REQ-0155	SPEC-01-kernel-dispatch	Conflicting configured and durable credential references raise `CredentialResolution`, except where a user-level connection deliberately overrides the org.	IMPLEMENTED	`boltrig/kernel/credentials.py:174` `"adapter '{adapter_id}' has conflicting credential references"`	SEC-05
BT-REQ-0156	SPEC-01-kernel-dispatch	A sealed per-run adapter bearer overrides the static credential only for the same run, adapter and owner, and is minted straight into the credential argument.	IMPLEMENTED	`boltrig/kernel/dispatch.py:705` `"override = await self._creds.resolve_run_scoped_credential("`	SEC-181
BT-REQ-0157	SPEC-01-kernel-dispatch	A verb param carrying a run-scoped credential reference is resolved to material inside the kernel on a copy; another run, purpose or owner fails closed.	IMPLEMENTED	`boltrig/kernel/credentials.py:239` `"Resolve one parsed reference to its material, FAIL CLOSED"`	SEC-181
BT-REQ-0158	SPEC-01-kernel-dispatch	A sealed row without an owner resolves for nobody.	IMPLEMENTED	`boltrig/kernel/run_scoped_credentials.py:34` `"Records created before the owner fence carry no owner"`	SEC-181
BT-REQ-0159	SPEC-01-kernel-dispatch	`Credential.material` is repr-suppressed and `__str__` never renders it.	IMPLEMENTED	`boltrig/adapters/base.py:26` `"material: dict[str, Any] = field(default_factory=dict, repr=False)"`	SEC-05
BT-REQ-0160	SPEC-01-kernel-dispatch	A missing adapter record is authoritative absence: the loader is unloaded and the credential binding cleared.	IMPLEMENTED	`boltrig/kernel/adapter_provider.py:20` `"Absence is authoritative"`	-
BT-REQ-0161	SPEC-01-kernel-dispatch	A generated adapter serves only when activated and an MCP consumer only when its lifecycle row is active.	IMPLEMENTED	`boltrig/kernel/adapter_provider.py:54` `"if lifecycle is not None and lifecycle.state == \"active\""`	-
BT-REQ-0162	SPEC-01-kernel-dispatch	`chat.ask_user` is intercepted in-kernel after the full gate order, creates a QUESTION HITL and always raises `PendingHuman`.	IMPLEMENTED	`boltrig/kernel/dispatch.py:580` `"if verb == QUESTIONS_VERB:"`	SEC-181
BT-REQ-0163	SPEC-01-kernel-dispatch	An adapter re-registration never replaces an existing AGENT binding, so a native or re-pointed verb survives restart.	IMPLEMENTED	`boltrig/kernel/registry.py:172` `"AN AGENT BINDING IS NEVER AN ADAPTER'S TO REPLACE"`	-
BT-REQ-0164	SPEC-01-kernel-dispatch	Adapter-over-adapter binding replacement is allowed so manifest order picks the provider.	IMPLEMENTED	`boltrig/kernel/registry.py:181` `"ADAPTER-over-ADAPTER is deliberately still allowed"`	-
BT-REQ-0165	SPEC-01-kernel-dispatch	Adapter error classes map to 404, 403, 400, 409 and 502 with a bounded reason code, and a detail-free failure maps to 502.	IMPLEMENTED	`boltrig/kernel/adapter_errors.py:8` `"_TRANSPORT_ERRORS = {"`	NFR-REL-04
BT-REQ-0166	SPEC-01-kernel-dispatch	An adapter `UNAVAILABLE` result degrades when the verb declares a degraded mode and otherwise fails.	IMPLEMENTED	`boltrig/kernel/dispatch.py:744` `"Produce a degraded result if the verb defines one, else fail (P9)"`	P9
BT-REQ-0167	SPEC-01-kernel-dispatch	Exactly one audit row is written in the `finally` block on every outcome, allowed or denied.	IMPLEMENTED	`boltrig/kernel/dispatch.py:445` `"await self._audit.write("`	SEC-16
