weight	classification	source	location	subject	claim
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/adapters/base.py:19		Resolved secret material.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/adapters/base.py:32		The bearer token carried by kernel-resolved credential material, or None.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/builtin/inbound_webhook.py:277		constant-time compare, unchanged (SEC-05): never branch on secret bytes.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/builtin/runpod.py:113		Fail closed: never post an empty bearer (SEC-04/05).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/adapters/builtin/script_base.py:1		Shared harness for script-runtime builtin adapters (subprocess CLIs).
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/builtin/xai_voice.py:153		Fail closed: never post an empty bearer (SEC-04/05).
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/adapters/http_base.py:123		Best-effort reachability probe.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/adapters/http_base.py:187		Turn credential material into request auth.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/http_base.py:240		cannot reach internal services or steal a managed-identity token.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:295		The kernel-resolved credential is the ONLY bearer source: no instance
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:297		credential fails closed rather than posting an empty bearer.
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/mcp_consumer.py:344		guard for connect()): never post an empty bearer, which would be an
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/mcp_transport.py:128		server reads Authorization (it is the only header the Opbox /mcp door
LOAD-BEARING	NO-SUBJECT	comment	boltrig/adapters/mcp_transport.py:130		bearer form.
LOAD-BEARING	NO-SUBJECT	docstring	boltrig/adapters/mcp_transport.py:52		A final (post-retry) HTTP refusal, carrying ONLY the status code: the body can echo the request back, credential headers included, so it never crosses this boundary.
